MANUFACTURE_YEAR;TAIL_NUM;NUMBER_OF_SEATS
1944;N54514;0.0
1945;N1651M;0.0
1953;N100CE;0.0
1953;N141FL;0.0
1953;N151FL;0.0
1953;N381FL;0.0
1954;N6174C;0.0
1954;N400UA;0.0
1955;N747CE;2.0
1955;N9148F;0.0
1955;N131FL;0.0
1955;N351FL;0.0
1955;N391FL;0.0
1956;N171FL;0.0
1956;N181FL;0.0
1956;N191FL;0.0
1956;N361FL;0.0
1956;N371FL;0.0
1957;N551CE;0.0
1957;N555SQ;0.0
1957;N751CE;0.0
1958;N151;0.0
1958;N9056R;0.0
1958;N851CE;0.0
1958;N991FL;0.0
1966;N783TW;0.0
1967;N904CE;0.0
1967;N784TW;0.0
1967;N785TW;0.0
1967;N782TW;0.0
1967;N915CK;0.0
1967;N917CK;0.0
1967;N192US;0.0
1967;N195US;0.0
1967;N196US;0.0
1968;N916CK;0.0
1968;N811AA;0.0
1968;N208US;0.0
1969;N930CE;0.0
1969;N935CE;0.0
1969;N822AA;0.0
1969;N327US;0.0
1970;N932CE;0.0
1971;N368FE;0.0
1971;N724CK;0.0
1972;N375FE;0.0
1972;N381FE;0.0
1972;N550FE;0.0
1972;ZS-RSC;0.0
1973;N383FE;0.0
1973;N303FE;0.0
1974;N326TR;0.0
1974;N390FE;0.0
1974;ZS-RSG;0.0
1974;ZS-RSF;0.0
1974;N827AA;0.0
1975;N810TA;0.0
1975;N394FE;0.0
1975;N396FE;0.0
1975;N357FE;0.0
1975;N311FE;0.0
1975;N401LC;0.0
1975;N403LC;0.0
1975;N408LC;0.0
1976;N402LC;0.0
1976;N406LC;0.0
1976;N409LC;0.0
1976;ZS-JIV;0.0
1976;N205US;0.0
1977;N562FE;0.0
1977;N404LC;0.0
1978;N304FE;0.0
1978;N281FL;0.0
1978;ZS-OPS;0.0
1979;N10060;0.0
1979;N318FE;0.0
1980;N359FE;0.0
1980;N360FE;0.0
1980;N571FE;0.0
1980;N320FE;0.0
1980;N321FE;0.0
1980;N319FE;0.0
1980;N725CK;0.0
1980;N726CK;0.0
1981;N705AA;0.0
1981;N727US;0.0
1981;N726US;0.0
1982;N650GT;0.0
1982;N767MW;269.0
1982;N739AX;0.0
1982;N729CK;0.0
1982;N743AX;
1982;N234OU;6.0
1983;N306AL;0.0
1983;N818EC;16.0
1983;N651GT;0.0
1983;N652GT;0.0
1983;N653GT;0.0
1983;N762CX;0.0
1983;N763CX;0.0
1983;N714AX;0.0
1983;N740AX;0.0
1983;N744AX;0.0
1983;N767AX;0.0
1983;N768AX;0.0
1983;N774AX;0.0
1983;N935FD;0.0
1984;N605KW;236.0
1984;N655GT;0.0
1984;N656GT;0.0
1984;N657GT;0.0
1984;N658GT;0.0
1984;N659GT;0.0
1984;N605DL;0.0
1984;N255CM;0.0
1984;N312AA;0.0
1984;N783AX;0.0
1984;N749AX;0.0
1984;N750AX;0.0
1984;N215WE;0.0
1984;N216WE;0.0
1985;N602KW;218.0
1985;N603KW;218.0
1985;N737CS;0.0
1985;N761CX;0.0
1985;N791AX;0.0
1985;N795AX;0.0
1985;N797AX;0.0
1985;N306FE;0.0
1985;N926FD;0.0
1985;N936FD;0.0
1985;N405LC;0.0
1985;N361NC;0.0
1985;N362NC;0.0
1985;N708S;100.0
1986;N620DL;0.0
1986;N557CM;0.0
1986;N465TW;60.0
1986;N467TW;60.0
1986;N902FE;0.0
1986;N903FE;0.0
1986;N904FE;0.0
1986;N905FE;0.0
1986;N906FE;0.0
1986;N907FE;0.0
1986;N908FE;0.0
1986;N909FE;0.0
1986;N910FE;0.0
1986;N912FE;0.0
1986;N307FE;0.0
1986;N308FE;0.0
1986;N942FD;0.0
1986;N990FD;0.0
1986;N991FD;0.0
1986;N992FD;0.0
1987;N809TA;0.0
1987;N999YV;0.0
1987;N961CE;0.0
1987;N401UP;0.0
1987;N402UP;0.0
1987;N403UP;0.0
1987;N404UP;0.0
1987;N405UP;0.0
1987;N798AX;0.0
1987;N752AX;0.0
1987;N905DL;149.0
1987;N912DL;149.0
1987;N717FD;0.0
1987;N808FD;0.0
1987;N911FX;0.0
1987;N912FX;0.0
1987;N797FE;0.0
1987;N804FE;0.0
1987;N807FE;0.0
1987;N895FE;0.0
1987;N900FE;0.0
1987;N911FE;0.0
1987;N914FE;0.0
1987;N916FE;0.0
1987;CFEXH;0.0
1987;N918FE;0.0
1987;N919FE;0.0
1987;N920FE;0.0
1987;N921FE;0.0
1987;N922FE;0.0
1987;N923FE;0.0
1987;N925FE;0.0
1987;N926FE;0.0
1987;N927FE;0.0
1987;N928FE;0.0
1987;N929FE;0.0
1987;N930FE;0.0
1987;N931FE;0.0
1987;N933FE;0.0
1987;N934FE;0.0
1987;N935FE;0.0
1987;N936FE;0.0
1987;N937FE;0.0
1987;CFEXN;0.0
1987;N940FE;0.0
1987;N943FE;0.0
1987;N946FE;0.0
1987;N947FE;0.0
1987;CFEXI;0.0
1987;N952FE;0.0
1987;N953FE;0.0
1987;N954FE;0.0
1987;N955FE;0.0
1987;N956FE;0.0
1987;N937FD;0.0
1987;N941FD;0.0
1987;N943FD;0.0
1987;N331CK;0.0
1987;N360WA;0.0
1987;N804WA;155.0
1988;N604KW;236.0
1988;N881YV;0.0
1988;N1105G;0.0
1988;N568SW;0.0
1988;N406UP;0.0
1988;N407UP;0.0
1988;N408UP;0.0
1988;N409UP;0.0
1988;N410UP;0.0
1988;N411UP;0.0
1988;N412UP;0.0
1988;N413UP;0.0
1988;N414UP;0.0
1988;N415UP;0.0
1988;N1709A;269.0
1988;N359AZ;0.0
1988;N397AZ;0.0
1988;N360AA;218.0
1988;N362CM;0.0
1988;N317CM;0.0
1988;N913DL;149.0
1988;N916DL;149.0
1988;N917DL;149.0
1988;N722FD;0.0
1988;N820FE;0.0
1988;N828FE;0.0
1988;N841FE;0.0
1988;N957FE;0.0
1988;N958FE;0.0
1988;N959FE;0.0
1988;N960FE;0.0
1988;N961FE;0.0
1988;N962FE;0.0
1988;N963FE;0.0
1988;N964FE;0.0
1988;N965FE;0.0
1988;N966FE;0.0
1988;N967FE;0.0
1988;N968FE;0.0
1988;N969FE;0.0
1988;N970FE;0.0
1988;N971FE;0.0
1988;N972FE;0.0
1988;N973FE;0.0
1988;N976FE;0.0
1988;N977FE;0.0
1988;N980FE;0.0
1988;N981FE;0.0
1988;N983FE;0.0
1988;N984FE;0.0
1988;N985FE;0.0
1988;N989FE;0.0
1988;N990FE;0.0
1988;N991FE;0.0
1988;N992FE;0.0
1988;N993FE;0.0
1988;N994FE;0.0
1988;N995FE;0.0
1988;N996FE;0.0
1988;N998FE;0.0
1988;N315FE;0.0
1988;N313FE;0.0
1988;N316FE;0.0
1988;N912FD;0.0
1988;N913FD;0.0
1988;N915FD;0.0
1988;N916FD;0.0
1988;N933FD;0.0
1988;N934FD;0.0
1988;N962FD;0.0
1988;N977FD;0.0
1988;N978FD;0.0
1988;N316CM;
1988;N319CM;
1989;N249BA;0.0
1989;N1511A;269.0
1989;N752CX;42.0
1989;N219CY;0.0
1989;N364CM;0.0
1989;N719FD;0.0
1989;N724FD;0.0
1989;N749FD;0.0
1989;N900FX;0.0
1989;N923FX;0.0
1989;N798FE;0.0
1989;N843FE;0.0
1989;N844FE;0.0
1989;N845FE;0.0
1989;N846FE;0.0
1989;N847FE;0.0
1989;N848FE;0.0
1989;N849FE;0.0
1989;N850FE;0.0
1989;N851FE;0.0
1989;N853FE;0.0
1989;N856FE;0.0
1989;N857FE;0.0
1989;N858FE;0.0
1989;N859FE;0.0
1989;N861FE;0.0
1989;N862FE;0.0
1989;N863FE;0.0
1989;N864FE;0.0
1989;N865FE;0.0
1989;N866FE;0.0
1989;N867FE;0.0
1989;N869FE;0.0
1989;N870FE;0.0
1989;N871FE;0.0
1989;N872FE;0.0
1989;N873FE;0.0
1989;N885FE;0.0
1989;N886FE;0.0
1989;N939FE;0.0
1989;N986FE;0.0
1989;N987FE;0.0
1989;N997FE;0.0
1989;N914FD;0.0
1989;N917FD;0.0
1989;N918FD;0.0
1989;N920FD;0.0
1989;N922FD;0.0
1989;N928FD;0.0
1989;N939FD;0.0
1989;N944FD;0.0
1989;N946FD;0.0
1989;N958FD;0.0
1989;N938FD;0.0
1989;N963FD;0.0
1989;N740CK;0.0
1989;N741CK;0.0
1989;N761CK;0.0
1989;N732CK;0.0
1989;N831US;0.0
1989;N502UA;170.0
1989;N803WA;153.0
1990;N688XA;150.0
1990;N706KW;280.0
1990;N416UP;0.0
1990;N417UP;0.0
1990;N418UP;0.0
1990;N419UP;0.0
1990;N420UP;0.0
1990;N465MC;524.0
1990;N780BA;0.0
1990;N429MC;0.0
1990;N640GT;269.0
1990;N313AZ;0.0
1990;N409AZ;0.0
1990;N363CM;0.0
1990;N658DL;199.0
1990;N659DL;199.0
1990;N660DL;199.0
1990;N152DL;226.0
1990;N171DN;211.0
1990;N172DN;211.0
1990;N174DN;211.0
1990;N175DN;211.0
1990;N176DN;211.0
1990;N309US;157.0
1990;N312US;157.0
1990;N958DL;149.0
1990;N960DL;149.0
1990;N963DL;149.0
1990;N964DL;149.0
1990;N965DL;149.0
1990;N966DL;149.0
1990;N967DL;149.0
1990;N968DL;149.0
1990;N969DL;149.0
1990;N970DL;149.0
1990;N726FD;0.0
1990;N728FD;0.0
1990;N740FD;0.0
1990;N723FD;0.0
1990;N750FD;0.0
1990;N901FX;0.0
1990;N903FX;0.0
1990;N750FE;0.0
1990;CFEXX;0.0
1990;N796FE;0.0
1990;N831FE;0.0
1990;N855FE;0.0
1990;N874FE;0.0
1990;N875FE;0.0
1990;N876FE;0.0
1990;N878FE;0.0
1990;N879FE;0.0
1990;N880FE;0.0
1990;N881FE;0.0
1990;N882FE;0.0
1990;N883FE;0.0
1990;N887FE;0.0
1990;N888FE;0.0
1990;N889FE;0.0
1990;N890FE;0.0
1990;N891FE;0.0
1990;N892FE;0.0
1990;N894FE;0.0
1990;N896FE;0.0
1990;N897FE;0.0
1990;N898FE;0.0
1990;N999FE;0.0
1990;N747FE;0.0
1990;N748FE;0.0
1990;N749FE;0.0
1990;N751FE;0.0
1990;N752FE;0.0
1990;N877FE;0.0
1990;N884FE;0.0
1990;N899FE;0.0
1990;N919FD;0.0
1990;N940FD;0.0
1990;N947FD;0.0
1990;N957FD;0.0
1990;N964FD;0.0
1990;N770FD;0.0
1990;N997FD;0.0
1990;N998FD;0.0
1990;N985FD;0.0
1990;N773FD;0.0
1990;N771FD;0.0
1990;N772FD;0.0
1990;N999FD;0.0
1990;N742CK;0.0
1990;N703CK;0.0
1990;N760CK;0.0
1990;N411SN;0.0
1990;N412SN;0.0
1990;N373CM;
1990;N176CA;170.0
1990;N5025;0.0
1990;N510UA;170.0
1990;N512UA;170.0
1990;N802WA;150.0
1990;N808WA;155.0
1991;N703KW;272.0
1991;N732KA;58.0
1991;N258UP;0.0
1991;N259UP;0.0
1991;N282UP;0.0
1991;N283UP;0.0
1991;N286UP;0.0
1991;N293UP;0.0
1991;N294UP;0.0
1991;N296UP;0.0
1991;N421UP;0.0
1991;N422UP;0.0
1991;N423UP;0.0
1991;N424UP;0.0
1991;N425UP;0.0
1991;N531UA;0.0
1991;N311AZ;0.0
1991;N331AZ;0.0
1991;N654A;184.0
1991;N220CY;0.0
1991;N665DN;199.0
1991;N667DN;199.0
1991;N668DN;199.0
1991;N669DN;199.0
1991;N154DL;226.0
1991;N155DL;226.0
1991;N156DL;226.0
1991;N177DN;211.0
1991;N178DN;211.0
1991;N179DN;211.0
1991;N317US;157.0
1991;N319US;157.0
1991;N320US;157.0
1991;N321US;157.0
1991;N322US;157.0
1991;N323US;157.0
1991;N324US;157.0
1991;N325US;157.0
1991;N326US;157.0
1991;N971DL;149.0
1991;N972DL;149.0
1991;N973DL;149.0
1991;N974DL;149.0
1991;N976DL;149.0
1991;N978DL;149.0
1991;N979DL;149.0
1991;N990DL;149.0
1991;N991DL;149.0
1991;N993DL;149.0
1991;N994DL;149.0
1991;N995DL;149.0
1991;N996DL;149.0
1991;N727FD;0.0
1991;N741FD;0.0
1991;N742FD;0.0
1991;N909FX;0.0
1991;N910FX;0.0
1991;N913FX;0.0
1991;N915FX;0.0
1991;N918FX;0.0
1991;N919FX;0.0
1991;EIFXB;0.0
1991;EIFXD;0.0
1991;ECKAI;0.0
1991;CFTAR;0.0
1991;N810FX;0.0
1991;EIFXG;0.0
1991;EIFXH;0.0
1991;EIFXK;0.0
1991;N820FX;0.0
1991;N821FX;0.0
1991;N761FE;0.0
1991;N762FE;0.0
1991;N763FE;0.0
1991;N764FE;0.0
